Date,Open,High,Low,Close,Adj Close,Volume,Stock,putWidth,putPremium,putIV,dt
2020-08-03,311.0,313.5,309.29998779296875,312.5899963378906,312.2264099121094,3907800,MA,5.0,0.0,0.007822421875,2020-10-30 09:03:33
2020-08-04,312.5,315.69000244140625,311.1000061035156,314.3900146484375,314.02435302734375,3409200,MA,5.0,0.0,0.007822421875,
2020-08-05,316.3699951171875,329.67999267578125,315.8699951171875,328.0,327.6184997558594,5799100,MA,5.0,0.0,0.007822421875,
2020-08-06,327.3999938964844,331.2200012207031,325.8999938964844,330.1400146484375,329.7560119628906,4839800,MA,5.0,0.0,0.007822421875,
2020-08-07,328.0,328.3299865722656,323.92999267578125,328.0199890136719,327.6384582519531,3662500,MA,5.0,0.0,0.007822421875,
2020-08-10,327.19000244140625,329.739990234375,321.8599853515625,322.8800048828125,322.50445556640625,3752100,MA,5.0,0.0,0.007822421875,
2020-08-11,325.0,334.54998779296875,323.5799865722656,328.5400085449219,328.1578674316406,5273300,MA,5.0,0.0,0.007822421875,
2020-08-12,328.6600036621094,331.3999938964844,326.20001220703125,327.6300048828125,327.2489318847656,3126700,MA,5.0,0.0,0.007822421875,
2020-08-13,325.92999267578125,329.8299865722656,325.6199951171875,326.19000244140625,325.81060791015625,2526700,MA,5.0,0.0,0.007822421875,
2020-08-14,325.6700134277344,327.6400146484375,324.80999755859375,326.79998779296875,326.4198913574219,1444900,MA,5.0,0.0,0.007822421875,
2020-08-17,327.0,331.2300109863281,326.67999267578125,330.2300109863281,329.8459167480469,2904100,MA,5.0,0.0,0.007822421875,
2020-08-18,330.20001220703125,331.3999938964844,326.3500061035156,331.0,330.6150207519531,3021700,MA,5.0,0.0,0.007822421875,
2020-08-19,330.0400085449219,334.4599914550781,330.0,332.3999938964844,332.01336669921875,3421000,MA,5.0,0.0,0.007822421875,
2020-08-20,330.19000244140625,338.0,330.19000244140625,337.32000732421875,336.92767333984375,2966000,MA,5.0,0.0,0.007822421875,
