Date,Open,High,Low,Close,Adj Close,Volume,Stock
2020-11-11,122.31,126.81,119.74,122.75,122.75,,EXPE
2020-11-11,340.23,345.77,333.46,334.8,334.8,,MA
2020-11-11,466.72,468.01,446.01,453.03,453.03,,ADBE
2020-11-11,420,420.09,396.0301,408.58,408.58,,TSLA
2020-11-11,36.78,38.0578,35.89,38.1,38.1,,LYFT
2020-11-11,248.48,251.36,239.25,242,242,,PANW
2020-11-11,103.57,104.26,98.15,102,102,,ESTC
2020-11-11,76.71,84.44,75.31,78.82,78.82,,SPG
2020-11-11,273.08,274,264,271.9,271.9,,FB
2020-11-11,13.24,15,11.7,13.1,13.1,,JMIA
2020-11-11,271.94,274.545,254.82,266.59,266.59,,TWLO
2020-11-11,326.18,328.5199,311.04,322.19,322.19,,LULU
2020-11-11,64.96,68.64,60.1401,66,66,,LMND
2020-11-11,79,80.7,76.695,79.54,79.54,,SAGE
2020-11-11,126.24,126.24,113.4866,119.42,119.42,,ETSY
2020-11-11,409.09,415.74,404.47,408,408,,LRCX
2020-11-11,62.15,64.69,58.34,61.24,61.24,,NET
2020-11-11,25.6,25.93,24.09,24.23,24.23,,WORK
2020-11-11,470.33,484.6,463.41,479.9,479.9,,NFLX
2020-11-11,123.49,126.18,121.415,123.92,123.92,,MTB
2020-11-11,40.98,41.09,38.44,40.3,40.3,,DKNG
2020-11-11,743.13,743.87,716.03,726,726,,EQIX
2020-11-11,13.3,13.64,12.2,12.51,12.51,,EB
2020-11-11,23.25,23.39,22.86,23.1602,23.1602,,PSTH
2020-11-11,97.5,97.6199,91.8,95.11,95.11,,ARKK
2020-11-11,18.6,18.7983,17.03,17.85,17.85,,IPOB
2020-11-11,61.6,62.77,60.67,62.26,62.26,,TJX
2020-11-11,209.19,211.43,187.85,197,197,,QDEL
2020-11-11,52.33,53.7,52.07,53.6,53.6,,DOW
2020-11-11,201.84,203.885,185.3589,198.2,198.2,,DOCU
2020-11-11,68.34,70.65,68,70.22,70.22,,CVS
2020-11-11,62.645,64.31,58.62,64.15,64.15,,PENN
2020-11-11,25.19,25.4,24.085,24.7402,24.7402,,MGM
2020-11-11,214.44,216.5,209.73,211.29,211.29,,MSFT
2020-11-11,3095.02,3114,3019.4828,3039,3039,,AMZN
2020-11-11,1729.77,1759.38,1716.12,1744.99,1744.99,,GOOGL
2020-11-11,39.85,43.7599,39.7467,42.37,42.37,,WBA
2020-11-11,70,70.875,68.66,70,70,,GDDY
2020-11-11,8.21,8.59,8.18,8.4,8.4,,F
2020-11-11,183,193.95,180.3821,188.31,188.31,,BA
2020-11-11,22.86,23.45,22.6131,23.33,23.33,,GPS
2020-11-11,29.16,30.075,28.855,30.08,30.08,,VIAC
2020-11-11,15.21,15.8499,14.64,15.62,15.62,,MDP
2020-11-11,21.05,21.23,19.75,19.9398,19.9398,,HUYA
2020-11-11,21.61,21.61,20.895,21.25,21.25,,ICLN
2020-11-11,13.34,13.34,12.77,13.02,13.02,,MJ
2020-11-11,103.1,108.65,92.03,105.35,105.35,,PTON
2020-11-11,125.26,127.53,121.8,123.45,123.45,,WING
2020-11-11,55.01,58.5,53.3201,58.98,58.98,,OTRK
2020-11-11,68.91,73.375,65.32,72,72,,FSLY
2020-11-11,1325.88,1325.93,1219.14,1228.56,1228.56,,MELI
2020-11-11,169.79,169.835,155.1,157.41,157.41,,SE
2020-11-11,38.27,39.025,38.2467,38.76,38.76,,CSCO
2020-11-11,34.13,37.3,34,35.99,35.99,,NNOX
2020-11-11,22.85,23.0444,21.26,21.55,21.55,,ASAN
2020-11-11,370.32,373.2,360.36,364.75,364.75,,AVGO
2020-11-11,140.53,143.17,138.53,140.2,140.2,,QCOM
2020-11-11,24.32,24.37,23.8645,24.26,24.26,,WFC
2020-11-11,771.04,771.04,742.05,749.5,749.5,,ISRG
2020-11-11,375,386.92,370.26,381.5,381.5,,DPZ
2020-11-11,78.18,79.8899,76.6,79,79,,PZZA
2020-11-11,227.84,228.2,207.5,217.72,217.72,,ROKU
2020-11-11,87.07,88.61,85.79,86.68,86.68,,COF
2020-11-11,180.4,180.995,168.5073,172.52,172.52,,TDOC
2020-11-11,27.02,28.69,26.91,28.12,28.12,,CPRI
2020-11-11,21.68,22.09,18.32,19.5,19.5,,GRWG
2020-11-11,258.17,258.42,242.9,247.68,247.68,,CRM
2020-11-11,176.76,176.91,175.66,175.98,175.98,,GLD
2020-11-11,22.66,22.78,22.4,22.5398,22.5398,,SLV
2020-11-11,21.55,22.29,20.8,21.35,21.35,,RKT
2020-11-11,237.57,238.42,219.51,230,230,,MDB
2020-11-11,185.4068,186.99,176.42,187.48,187.48,,TEAM
2020-11-11,40.17,40.49,37.31,39.34,39.34,,RDFN
2020-11-11,163.73,165.26,161.03,165.19,165.19,,UPS
2020-11-11,182.37,183.36,167.12,174,174,,SQ
2020-11-11,79.9,80.18,75.95,77.69,77.69,,LOGI
2020-11-11,28.14,28.27,26.23,26.88,26.88,,AMWL
2020-11-11,154.77,155,129.21,138,138,,FVRR
2020-11-11,9.23,9.33,8.07,7.9,7.9,,TLRY
2020-11-11,127.08,128,118.11,124.49,124.49,,CRWD
2020-11-11,765.17,769.975,697.36,707,707,,TTD
2020-11-11,94.99,96.25,88.59,87.01,87.01,,DDOG
2020-11-11,24.29,25.166,23.63,23.56,23.56,,PLAY
2020-11-11,106.1,106.12,98,99.9,99.9,,U
2020-11-11,238.92,238.92,230.26,232.38,232.38,,AMT
2020-11-11,137,139.26,131.3,131,131,,MTCH
2020-11-11,53.12,53.3,49.285,50.94,50.94,,SDGR
2020-11-11,57.15,60.53,55.795,59.09,59.09,,RHP
2020-11-11,117.36,117.43,114.69,116.91,116.91,,JPM
2020-11-11,20.92,20.9236,19.11,20.5,20.5,,SPCE
2020-11-11,157.98,157.98,152.8806,155.445,155.445,,TTWO
2020-11-11,336.21,341.26,326.86,338.161,338.161,,DXCM
2020-11-11,19.58,20.3,19.42,19.54,19.54,,VXX
